amproc,amprocnum,amprocfamily,amproclefttype,amprocrighttype
box_contain,13,4104,603,603
hashmacaddr8,1,3372,774,774
hash_aclitem,1,2235,1033,1033
btint2cmp,1,1976,21,21
btint4cmp,1,1976,23,23
btint4cmp,1,4037,3802,3802
btfloat4cmp,1,1970,700,700
btfloat8cmp,1,1970,701,701
btoidcmp,1,1989,26,26
btabstimecmp,1,421,702,702
btcharcmp,1,429,18,18
btnamecmp,1,1986,19,19
bttextcmp,1,1994,25,25
cash_cmp,1,2099,790,790
btreltimecmp,1,2233,703,703
bttintervalcmp,1,2234,704,704
btarraycmp,1,397,2277,2277
hashmacaddr,1,1985,829,829
hashtext,1,1995,25,25
hashtext,1,2229,25,25
btoidvectorcmp,1,1991,30,30
hashinet,1,1975,869,869
hashint4extended,2,2225,28,28
hashint4extended,2,2225,28,28
hashint4extended,2,2225,28,28
hashint4extended,2,1977,23,23
hashint4extended,2,1977,23,23
hashint4extended,2,1977,23,23
hash_numeric,1,1998,1700,1700
hashint2extended,2,1977,21,21
hashint8extended,2,1977,20,20
hashfloat4extended,2,1971,700,700
hashfloat8extended,2,1971,701,701
hashoidextended,2,1990,26,26
hashcharextended,2,431,18,18
hashcharextended,2,431,18,18
hashnameextended,2,1987,19,19
hashtextextended,2,1995,25,25
hashtextextended,2,1995,25,25
hashint2,1,1977,21,21
hashint4,1,2226,29,29
hashint4,1,2227,702,702
hashint4,1,2227,702,702
hashint4,1,1977,23,23
hashint4,1,2227,702,702
hashint4,1,2225,28,28
hashfloat4,1,1971,700,700
hashfloat8,1,1971,701,701
hashoid,1,1990,26,26
hashchar,1,431,18,18
hashchar,1,2222,16,16
hashname,1,1987,19,19
hashvarlena,1,2223,17,17
hashoidvector,1,1992,30,30
hash_array,1,627,2277,2277
hashvarlenaextended,2,2223,17,17
hashoidvectorextended,2,1992,30,30
hash_aclitem_extended,2,2235,1033,1033
hashmacaddrextended,2,1985,829,829
hashinetextended,2,1975,869,869
hash_numeric_extended,2,1998,1700,1700
hashmacaddr8extended,2,3372,774,774
hash_array_extended,2,627,2277,2277
macaddr_cmp,1,1984,829,829
btint8cmp,1,1976,20,20
network_cmp,1,1974,869,869
network_supeq,13,4102,869,869
hashint8,1,1977,20,20
hashbpcharextended,2,427,1042,1042
hashbpcharextended,2,427,1042,1042
gist_point_compress,3,1029,600,600
bpcharcmp,1,426,1042,1042
hashbpchar,1,2231,1042,1042
hashbpchar,1,427,1042,1042
date_cmp,1,434,1082,1082
time_cmp,1,1996,1083,1083
timestamptz_cmp,1,434,1184,1184
interval_cmp,1,1982,1186,1186
timetz_cmp,1,2000,1266,1266
bitcmp,1,423,1560,1560
varbitcmp,1,2002,1562,1562
time_hash,1,1997,1083,1083
btboolcmp,1,424,16,16
timetz_hash,1,2001,1266,1266
interval_hash,1,1983,1186,1186
numeric_cmp,1,1988,1700,1700
byteacmp,1,428,17,17
timestamp_hash,1,2040,1114,1114
timestamp_hash,1,2040,1114,1114
timestamp_cmp,1,434,1114,1114
bttext_pattern_cmp,1,2095,25,25
gist_point_consistent,1,1029,600,600
btbpchar_pattern_cmp,1,2097,1042,1042
btint48cmp,1,1976,23,20
btint84cmp,1,1976,20,23
btint24cmp,1,1976,21,23
btint42cmp,1,1976,23,21
btint28cmp,1,1976,21,20
btint82cmp,1,1976,20,21
btfloat48cmp,1,1970,700,701
btfloat84cmp,1,1970,701,700
date_cmp_timestamp,1,434,1082,1114
date_cmp_timestamptz,1,434,1082,1184
timestamp_cmp_date,1,434,1114,1082
timestamptz_cmp_date,1,434,1184,1082
timestamp_cmp_timestamptz,1,434,1114,1184
timestamptz_cmp_timestamp,1,434,1184,1114
gist_box_consistent,1,2593,603,603
gist_box_penalty,5,1029,600,600
gist_box_penalty,5,1029,600,600
gist_box_penalty,5,1029,600,600
gist_box_penalty,5,2594,604,604
gist_box_picksplit,6,2594,604,604
gist_box_picksplit,6,2595,718,718
gist_box_picksplit,6,2593,603,603
gist_box_picksplit,6,2594,604,604
gist_box_union,2,1029,600,600
gist_box_union,2,2594,604,604
gist_box_union,2,2594,604,604
gist_box_union,2,2595,718,718
gist_box_same,7,1029,600,600
gist_box_same,7,2595,718,718
gist_box_same,7,1029,600,600
gist_box_same,7,2595,718,718
gist_poly_consistent,1,2594,604,604
gist_poly_compress,3,2594,604,604
gist_circle_consistent,1,2595,718,718
gist_circle_compress,3,2595,718,718
gin_cmp_prefix,5,3659,3614,3614
pg_catalog.ginarrayextract,2,2745,2277,2277
ginarrayconsistent,4,2745,2277,2277
ginqueryarrayextract,3,2745,2277,2277
bttidcmp,1,2789,27,27
uuid_cmp,1,2968,2950,2950
uuid_hash,1,2969,2950,2950
btrecordcmp,1,2994,2249,2249
gist_point_distance,8,1029,600,600
btint2sortsupport,2,1976,21,21
btint4sortsupport,2,1976,23,23
btint8sortsupport,2,1976,20,20
btfloat4sortsupport,2,1970,700,700
btfloat8sortsupport,2,1970,701,701
btoidsortsupport,2,1989,26,26
btnamesortsupport,2,1986,19,19
date_sortsupport,2,434,1082,1082
timestamp_sortsupport,2,434,1114,1114
timestamp_sortsupport,2,434,1184,1184
btrecordimagecmp,1,3194,2249,2249
pg_lsn_cmp,1,3253,3220,3220
pg_lsn_hash,1,3254,3220,3220
bttextsortsupport,2,1994,25,25
gist_circle_distance,8,2595,718,718
gist_point_fetch,9,1029,600,600
numeric_sortsupport,2,1988,1700,1700
gist_poly_distance,8,2594,604,604
uuid_sortsupport,2,2968,2950,2950
bpchar_sortsupport,2,426,1042,1042
bytea_sortsupport,2,428,17,17
bttext_pattern_sortsupport,2,2095,25,25
btbpchar_pattern_sortsupport,2,2097,1042,1042
macaddr_sortsupport,2,1984,829,829
brin_minmax_opcinfo,1,4062,18,18
brin_minmax_opcinfo,1,4064,17,17
brin_minmax_opcinfo,1,4065,19,19
brin_minmax_opcinfo,1,4054,20,20
brin_minmax_opcinfo,1,4054,20,20
brin_minmax_opcinfo,1,4054,20,23
brin_minmax_opcinfo,1,4054,20,23
brin_minmax_opcinfo,1,4054,21,20
brin_minmax_opcinfo,1,4054,21,21
brin_minmax_opcinfo,1,4054,21,23
brin_minmax_opcinfo,1,4054,21,23
brin_minmax_opcinfo,1,4054,23,20
brin_minmax_opcinfo,1,4054,23,23
brin_minmax_opcinfo,1,4054,23,23
brin_minmax_opcinfo,1,4054,23,20
brin_minmax_opcinfo,1,4054,23,20
brin_minmax_opcinfo,1,4054,23,20
brin_minmax_opcinfo,1,4056,25,25
brin_minmax_opcinfo,1,4056,25,25
brin_minmax_opcinfo,1,4070,700,700
brin_minmax_opcinfo,1,4068,26,26
brin_minmax_opcinfo,1,4070,700,700
brin_minmax_opcinfo,1,4070,700,701
brin_minmax_opcinfo,1,4075,869,869
brin_minmax_opcinfo,1,4109,774,774
brin_minmax_opcinfo,1,4075,869,869
brin_minmax_opcinfo,1,4070,701,701
brin_minmax_opcinfo,1,4077,1083,1083
brin_minmax_opcinfo,1,4077,1083,1083
brin_minmax_opcinfo,1,4059,1114,1114
brin_minmax_opcinfo,1,4059,1114,1184
brin_minmax_opcinfo,1,4059,1114,1184
brin_minmax_opcinfo,1,4059,1114,1082
brin_minmax_opcinfo,1,4059,1184,1184
brin_minmax_opcinfo,1,4059,1114,1184
brin_minmax_opcinfo,1,4059,1184,1114
brin_minmax_opcinfo,1,4059,1184,1114
brin_minmax_opcinfo,1,4059,1082,1082
brin_minmax_opcinfo,1,4059,1082,1082
brin_minmax_opcinfo,1,4059,1082,1082
brin_minmax_opcinfo,1,4059,1184,1082
brin_minmax_opcinfo,1,4078,1186,1186
brin_minmax_add_value,2,4054,21,23
brin_minmax_add_value,2,4069,27,27
brin_minmax_add_value,2,4068,26,26
brin_minmax_add_value,2,4073,703,703
brin_minmax_add_value,2,4064,17,17
brin_minmax_add_value,2,4064,17,17
brin_minmax_add_value,2,4070,700,700
brin_minmax_add_value,2,4062,18,18
brin_minmax_add_value,2,4064,17,17
brin_minmax_add_value,2,4062,18,18
brin_minmax_add_value,2,4062,18,18
brin_minmax_add_value,2,4075,869,869
brin_minmax_add_value,2,4054,20,21
brin_minmax_add_value,2,4076,1042,1042
brin_minmax_add_value,2,4054,21,23
brin_minmax_add_value,2,4064,17,17
brin_minmax_add_value,2,4077,1083,1083
brin_minmax_add_value,2,4059,1184,1184
brin_minmax_add_value,2,4054,20,21
brin_minmax_add_value,2,4062,18,18
brin_minmax_add_value,2,4065,19,19
brin_minmax_add_value,2,4064,17,17
brin_minmax_add_value,2,4076,1042,1042
brin_minmax_add_value,2,4070,701,700
brin_minmax_add_value,2,4070,701,700
brin_minmax_add_value,2,4070,700,701
brin_minmax_add_value,2,4077,1083,1083
brin_minmax_add_value,2,4076,1042,1042
brin_minmax_add_value,2,4075,869,869
brin_minmax_add_value,2,4109,774,774
brin_minmax_add_value,2,4074,829,829
brin_minmax_add_value,2,4073,703,703
brin_minmax_add_value,2,4072,702,702
brin_minmax_add_value,2,4081,2950,2950
brin_minmax_add_value,2,4054,20,21
brin_minmax_add_value,2,4070,701,701
brin_minmax_add_value,2,4064,17,17
brin_minmax_add_value,2,4062,18,18
brin_minmax_add_value,2,4082,3220,3220
brin_minmax_add_value,2,4065,19,19
brin_minmax_add_value,2,4054,20,20
brin_minmax_add_value,2,4055,1700,1700
brin_minmax_consistent,3,4080,1562,1562
brin_minmax_consistent,3,4078,1186,1186
brin_minmax_consistent,3,4081,2950,2950
brin_minmax_consistent,3,4109,774,774
brin_minmax_consistent,3,4054,21,20
brin_minmax_consistent,3,4058,1266,1266
brin_minmax_consistent,3,4069,27,27
brin_minmax_consistent,3,4074,829,829
brin_minmax_consistent,3,4054,20,23
brin_minmax_consistent,3,4079,1560,1560
brin_minmax_consistent,3,4070,700,700
brin_minmax_consistent,3,4073,703,703
brin_minmax_consistent,3,4062,18,18
brin_minmax_consistent,3,4068,26,26
brin_minmax_consistent,3,4056,25,25
brin_minmax_consistent,3,4072,702,702
brin_minmax_consistent,3,4054,20,21
brin_minmax_consistent,3,4054,23,21
brin_minmax_consistent,3,4054,21,21
brin_minmax_consistent,3,4070,701,700
brin_minmax_consistent,3,4054,20,20
brin_minmax_consistent,3,4054,23,20
brin_minmax_consistent,3,4054,23,23
brin_minmax_consistent,3,4059,1114,1184
brin_minmax_consistent,3,4070,701,701
brin_minmax_consistent,3,4070,700,701
brin_minmax_consistent,3,4059,1114,1082
brin_minmax_consistent,3,4082,3220,3220
brin_minmax_consistent,3,4059,1114,1114
brin_minmax_consistent,3,4065,19,19
brin_minmax_consistent,3,4059,1184,1184
brin_minmax_consistent,3,4054,21,23
brin_minmax_consistent,3,4077,1083,1083
brin_minmax_consistent,3,4055,1700,1700
brin_minmax_consistent,3,4059,1184,1114
brin_minmax_consistent,3,4059,1184,1082
brin_minmax_consistent,3,4076,1042,1042
brin_minmax_consistent,3,4064,17,17
brin_minmax_consistent,3,4059,1082,1082
brin_minmax_consistent,3,4059,1082,1114
brin_minmax_consistent,3,4059,1082,1184
brin_minmax_consistent,3,4075,869,869
brin_minmax_union,4,4070,700,701
brin_minmax_union,4,4082,3220,3220
brin_minmax_union,4,4081,2950,2950
brin_minmax_union,4,4055,1700,1700
brin_minmax_union,4,4080,1562,1562
brin_minmax_union,4,4079,1560,1560
brin_minmax_union,4,4058,1266,1266
brin_minmax_union,4,4078,1186,1186
brin_minmax_union,4,4059,1082,1184
brin_minmax_union,4,4059,1082,1114
brin_minmax_union,4,4059,1082,1082
brin_minmax_union,4,4059,1184,1082
brin_minmax_union,4,4059,1184,1114
brin_minmax_union,4,4059,1184,1184
brin_minmax_union,4,4059,1114,1082
brin_minmax_union,4,4059,1114,1184
brin_minmax_union,4,4059,1114,1114
brin_minmax_union,4,4077,1083,1083
brin_minmax_union,4,4076,1042,1042
brin_minmax_union,4,4075,869,869
brin_minmax_union,4,4109,774,774
brin_minmax_union,4,4074,829,829
brin_minmax_union,4,4073,703,703
brin_minmax_union,4,4072,702,702
brin_minmax_union,4,4070,701,700
brin_minmax_union,4,4070,701,701
brin_minmax_union,4,4064,17,17
brin_minmax_union,4,4062,18,18
brin_minmax_union,4,4065,19,19
brin_minmax_union,4,4054,20,20
brin_minmax_union,4,4054,20,21
brin_minmax_union,4,4054,20,23
brin_minmax_union,4,4054,21,21
brin_minmax_union,4,4054,21,20
brin_minmax_union,4,4054,21,23
brin_minmax_union,4,4054,23,23
brin_minmax_union,4,4054,23,20
brin_minmax_union,4,4054,23,21
brin_minmax_union,4,4056,25,25
brin_minmax_union,4,4068,26,26
brin_minmax_union,4,4069,27,27
brin_minmax_union,4,4070,700,700
time_hash_extended,2,1997,1083,1083
timetz_hash_extended,2,2001,1266,1266
