collname,collctype,collowner,collcollate,collversion,collencoding,collprovider,collnamespace
C,C,10,C,NULL,-1,c,11
C.UTF-8,C.UTF-8,10,C.UTF-8,NULL,6,c,11
POSIX,POSIX,10,POSIX,NULL,-1,c,11
af-NA-x-icu,af-NA,10,af-NA,153.88.34,-1,i,11
af-ZA-x-icu,af-ZA,10,af-ZA,153.88.34,-1,i,11
af-x-icu,af,10,af,153.88.34,-1,i,11
agq-CM-x-icu,agq-CM,10,agq-CM,153.88,-1,i,11
agq-x-icu,agq,10,agq,153.88,-1,i,11
ak-GH-x-icu,ak-GH,10,ak-GH,153.88,-1,i,11
ak-x-icu,ak,10,ak,153.88,-1,i,11
am-ET-x-icu,am-ET,10,am-ET,153.88.34,-1,i,11
am-x-icu,am,10,am,153.88.34,-1,i,11
ar-001-x-icu,ar-001,10,ar-001,153.88.34,-1,i,11
ar-AE-x-icu,ar-AE,10,ar-AE,153.88.34,-1,i,11
ar-BH-x-icu,ar-BH,10,ar-BH,153.88.34,-1,i,11
ar-DJ-x-icu,ar-DJ,10,ar-DJ,153.88.34,-1,i,11
ar-DZ-x-icu,ar-DZ,10,ar-DZ,153.88.34,-1,i,11
ar-EG-x-icu,ar-EG,10,ar-EG,153.88.34,-1,i,11
ar-EH-x-icu,ar-EH,10,ar-EH,153.88.34,-1,i,11
ar-ER-x-icu,ar-ER,10,ar-ER,153.88.34,-1,i,11
ar-IL-x-icu,ar-IL,10,ar-IL,153.88.34,-1,i,11
ar-IQ-x-icu,ar-IQ,10,ar-IQ,153.88.34,-1,i,11
ar-JO-x-icu,ar-JO,10,ar-JO,153.88.34,-1,i,11
ar-KM-x-icu,ar-KM,10,ar-KM,153.88.34,-1,i,11
ar-KW-x-icu,ar-KW,10,ar-KW,153.88.34,-1,i,11
ar-LB-x-icu,ar-LB,10,ar-LB,153.88.34,-1,i,11
ar-LY-x-icu,ar-LY,10,ar-LY,153.88.34,-1,i,11
ar-MA-x-icu,ar-MA,10,ar-MA,153.88.34,-1,i,11
ar-MR-x-icu,ar-MR,10,ar-MR,153.88.34,-1,i,11
ar-OM-x-icu,ar-OM,10,ar-OM,153.88.34,-1,i,11
ar-PS-x-icu,ar-PS,10,ar-PS,153.88.34,-1,i,11
ar-QA-x-icu,ar-QA,10,ar-QA,153.88.34,-1,i,11
ar-SA-x-icu,ar-SA,10,ar-SA,153.88.34,-1,i,11
ar-SD-x-icu,ar-SD,10,ar-SD,153.88.34,-1,i,11
ar-SO-x-icu,ar-SO,10,ar-SO,153.88.34,-1,i,11
ar-SS-x-icu,ar-SS,10,ar-SS,153.88.34,-1,i,11
ar-SY-x-icu,ar-SY,10,ar-SY,153.88.34,-1,i,11
ar-TD-x-icu,ar-TD,10,ar-TD,153.88.34,-1,i,11
ar-TN-x-icu,ar-TN,10,ar-TN,153.88.34,-1,i,11
ar-YE-x-icu,ar-YE,10,ar-YE,153.88.34,-1,i,11
ar-x-icu,ar,10,ar,153.88.34,-1,i,11
as-IN-x-icu,as-IN,10,as-IN,153.88.34,-1,i,11
as-x-icu,as,10,as,153.88.34,-1,i,11
asa-TZ-x-icu,asa-TZ,10,asa-TZ,153.88,-1,i,11
asa-x-icu,asa,10,asa,153.88,-1,i,11
ast-ES-x-icu,ast-ES,10,ast-ES,153.88,-1,i,11
ast-x-icu,ast,10,ast,153.88,-1,i,11
az-Cyrl-AZ-x-icu,az-Cyrl-AZ,10,az-Cyrl-AZ,153.88.34,-1,i,11
az-Cyrl-x-icu,az-Cyrl,10,az-Cyrl,153.88.34,-1,i,11
az-Latn-AZ-x-icu,az-Latn-AZ,10,az-Latn-AZ,153.88.34,-1,i,11
az-Latn-x-icu,az-Latn,10,az-Latn,153.88.34,-1,i,11
az-x-icu,az,10,az,153.88.34,-1,i,11
bas-CM-x-icu,bas-CM,10,bas-CM,153.88,-1,i,11
bas-x-icu,bas,10,bas,153.88,-1,i,11
be-BY-x-icu,be-BY,10,be-BY,153.88.34,-1,i,11
be-x-icu,be,10,be,153.88.34,-1,i,11
bem-ZM-x-icu,bem-ZM,10,bem-ZM,153.88,-1,i,11
bem-x-icu,bem,10,bem,153.88,-1,i,11
bez-TZ-x-icu,bez-TZ,10,bez-TZ,153.88,-1,i,11
bez-x-icu,bez,10,bez,153.88,-1,i,11
bg-BG-x-icu,bg-BG,10,bg-BG,153.88.34,-1,i,11
bg-x-icu,bg,10,bg,153.88.34,-1,i,11
bm-ML-x-icu,bm-ML,10,bm-ML,153.88,-1,i,11
bm-x-icu,bm,10,bm,153.88,-1,i,11
bn-BD-x-icu,bn-BD,10,bn-BD,153.88.34,-1,i,11
bn-IN-x-icu,bn-IN,10,bn-IN,153.88.34,-1,i,11
bn-x-icu,bn,10,bn,153.88.34,-1,i,11
bo-CN-x-icu,bo-CN,10,bo-CN,153.88,-1,i,11
bo-IN-x-icu,bo-IN,10,bo-IN,153.88,-1,i,11
bo-x-icu,bo,10,bo,153.88,-1,i,11
br-FR-x-icu,br-FR,10,br-FR,153.88,-1,i,11
br-x-icu,br,10,br,153.88,-1,i,11
brx-IN-x-icu,brx-IN,10,brx-IN,153.88,-1,i,11
brx-x-icu,brx,10,brx,153.88,-1,i,11
bs-Cyrl-BA-x-icu,bs-Cyrl-BA,10,bs-Cyrl-BA,153.88.34,-1,i,11
bs-Cyrl-x-icu,bs-Cyrl,10,bs-Cyrl,153.88.34,-1,i,11
bs-Latn-BA-x-icu,bs-Latn-BA,10,bs-Latn-BA,153.88.34,-1,i,11
bs-Latn-x-icu,bs-Latn,10,bs-Latn,153.88.34,-1,i,11
bs-x-icu,bs,10,bs,153.88.34,-1,i,11
ca-AD-x-icu,ca-AD,10,ca-AD,153.88,-1,i,11
ca-ES-x-icu,ca-ES,10,ca-ES,153.88,-1,i,11
ca-FR-x-icu,ca-FR,10,ca-FR,153.88,-1,i,11
ca-IT-x-icu,ca-IT,10,ca-IT,153.88,-1,i,11
ca-x-icu,ca,10,ca,153.88,-1,i,11
ccp-BD-x-icu,ccp-BD,10,ccp-BD,153.88,-1,i,11
ccp-IN-x-icu,ccp-IN,10,ccp-IN,153.88,-1,i,11
ccp-x-icu,ccp,10,ccp,153.88,-1,i,11
ce-RU-x-icu,ce-RU,10,ce-RU,153.88,-1,i,11
ce-x-icu,ce,10,ce,153.88,-1,i,11
cgg-UG-x-icu,cgg-UG,10,cgg-UG,153.88,-1,i,11
cgg-x-icu,cgg,10,cgg,153.88,-1,i,11
chr-US-x-icu,chr-US,10,chr-US,153.88.34,-1,i,11
chr-x-icu,chr,10,chr,153.88.34,-1,i,11
ckb-IQ-x-icu,ckb-IQ,10,ckb-IQ,153.88,-1,i,11
ckb-IR-x-icu,ckb-IR,10,ckb-IR,153.88,-1,i,11
ckb-x-icu,ckb,10,ckb,153.88,-1,i,11
cs-CZ-x-icu,cs-CZ,10,cs-CZ,153.88.34,-1,i,11
cs-x-icu,cs,10,cs,153.88.34,-1,i,11
cy-GB-x-icu,cy-GB,10,cy-GB,153.88.34,-1,i,11
cy-x-icu,cy,10,cy,153.88.34,-1,i,11
da-DK-x-icu,da-DK,10,da-DK,153.88.34,-1,i,11
da-GL-x-icu,da-GL,10,da-GL,153.88.34,-1,i,11
da-x-icu,da,10,da,153.88.34,-1,i,11
dav-KE-x-icu,dav-KE,10,dav-KE,153.88,-1,i,11
dav-x-icu,dav,10,dav,153.88,-1,i,11
de-AT-x-icu,de-AT,10,de-AT,153.88,-1,i,11
de-BE-x-icu,de-BE,10,de-BE,153.88,-1,i,11
de-CH-x-icu,de-CH,10,de-CH,153.88,-1,i,11
de-DE-x-icu,de-DE,10,de-DE,153.88,-1,i,11
de-IT-x-icu,de-IT,10,de-IT,153.88,-1,i,11
de-LI-x-icu,de-LI,10,de-LI,153.88,-1,i,11
de-LU-x-icu,de-LU,10,de-LU,153.88,-1,i,11
de-x-icu,de,10,de,153.88,-1,i,11
default,<blank>,10,<blank>,NULL,-1,d,11
dje-NE-x-icu,dje-NE,10,dje-NE,153.88,-1,i,11
dje-x-icu,dje,10,dje,153.88,-1,i,11
dsb-DE-x-icu,dsb-DE,10,dsb-DE,153.88.34,-1,i,11
dsb-x-icu,dsb,10,dsb,153.88.34,-1,i,11
dua-CM-x-icu,dua-CM,10,dua-CM,153.88,-1,i,11
dua-x-icu,dua,10,dua,153.88,-1,i,11
dyo-SN-x-icu,dyo-SN,10,dyo-SN,153.88,-1,i,11
dyo-x-icu,dyo,10,dyo,153.88,-1,i,11
dz-BT-x-icu,dz-BT,10,dz-BT,153.88,-1,i,11
dz-x-icu,dz,10,dz,153.88,-1,i,11
ebu-KE-x-icu,ebu-KE,10,ebu-KE,153.88,-1,i,11
ebu-x-icu,ebu,10,ebu,153.88,-1,i,11
ee-GH-x-icu,ee-GH,10,ee-GH,153.88.34,-1,i,11
ee-TG-x-icu,ee-TG,10,ee-TG,153.88.34,-1,i,11
ee-x-icu,ee,10,ee,153.88.34,-1,i,11
el-CY-x-icu,el-CY,10,el-CY,153.88.34,-1,i,11
el-GR-x-icu,el-GR,10,el-GR,153.88.34,-1,i,11
el-x-icu,el,10,el,153.88.34,-1,i,11
en-001-x-icu,en-001,10,en-001,153.88,-1,i,11
en-150-x-icu,en-150,10,en-150,153.88,-1,i,11
en-AG-x-icu,en-AG,10,en-AG,153.88,-1,i,11
en-AI-x-icu,en-AI,10,en-AI,153.88,-1,i,11
en-AS-x-icu,en-AS,10,en-AS,153.88,-1,i,11
en-AT-x-icu,en-AT,10,en-AT,153.88,-1,i,11
en-AU-x-icu,en-AU,10,en-AU,153.88,-1,i,11
en-BB-x-icu,en-BB,10,en-BB,153.88,-1,i,11
en-BE-x-icu,en-BE,10,en-BE,153.88,-1,i,11
en-BI-x-icu,en-BI,10,en-BI,153.88,-1,i,11
en-BM-x-icu,en-BM,10,en-BM,153.88,-1,i,11
en-BS-x-icu,en-BS,10,en-BS,153.88,-1,i,11
en-BW-x-icu,en-BW,10,en-BW,153.88,-1,i,11
en-BZ-x-icu,en-BZ,10,en-BZ,153.88,-1,i,11
en-CA-x-icu,en-CA,10,en-CA,153.88,-1,i,11
en-CC-x-icu,en-CC,10,en-CC,153.88,-1,i,11
en-CH-x-icu,en-CH,10,en-CH,153.88,-1,i,11
en-CK-x-icu,en-CK,10,en-CK,153.88,-1,i,11
en-CM-x-icu,en-CM,10,en-CM,153.88,-1,i,11
en-CX-x-icu,en-CX,10,en-CX,153.88,-1,i,11
en-CY-x-icu,en-CY,10,en-CY,153.88,-1,i,11
en-DE-x-icu,en-DE,10,en-DE,153.88,-1,i,11
en-DG-x-icu,en-DG,10,en-DG,153.88,-1,i,11
en-DK-x-icu,en-DK,10,en-DK,153.88,-1,i,11
en-DM-x-icu,en-DM,10,en-DM,153.88,-1,i,11
en-ER-x-icu,en-ER,10,en-ER,153.88,-1,i,11
en-FI-x-icu,en-FI,10,en-FI,153.88,-1,i,11
en-FJ-x-icu,en-FJ,10,en-FJ,153.88,-1,i,11
en-FK-x-icu,en-FK,10,en-FK,153.88,-1,i,11
en-FM-x-icu,en-FM,10,en-FM,153.88,-1,i,11
en-GB-x-icu,en-GB,10,en-GB,153.88,-1,i,11
en-GD-x-icu,en-GD,10,en-GD,153.88,-1,i,11
en-GG-x-icu,en-GG,10,en-GG,153.88,-1,i,11
en-GH-x-icu,en-GH,10,en-GH,153.88,-1,i,11
en-GI-x-icu,en-GI,10,en-GI,153.88,-1,i,11
en-GM-x-icu,en-GM,10,en-GM,153.88,-1,i,11
en-GU-x-icu,en-GU,10,en-GU,153.88,-1,i,11
en-GY-x-icu,en-GY,10,en-GY,153.88,-1,i,11
en-HK-x-icu,en-HK,10,en-HK,153.88,-1,i,11
en-IE-x-icu,en-IE,10,en-IE,153.88,-1,i,11
en-IL-x-icu,en-IL,10,en-IL,153.88,-1,i,11
en-IM-x-icu,en-IM,10,en-IM,153.88,-1,i,11
en-IN-x-icu,en-IN,10,en-IN,153.88,-1,i,11
en-IO-x-icu,en-IO,10,en-IO,153.88,-1,i,11
en-JE-x-icu,en-JE,10,en-JE,153.88,-1,i,11
en-JM-x-icu,en-JM,10,en-JM,153.88,-1,i,11
en-KE-x-icu,en-KE,10,en-KE,153.88,-1,i,11
en-KI-x-icu,en-KI,10,en-KI,153.88,-1,i,11
en-KN-x-icu,en-KN,10,en-KN,153.88,-1,i,11
en-KY-x-icu,en-KY,10,en-KY,153.88,-1,i,11
en-LC-x-icu,en-LC,10,en-LC,153.88,-1,i,11
en-LR-x-icu,en-LR,10,en-LR,153.88,-1,i,11
en-LS-x-icu,en-LS,10,en-LS,153.88,-1,i,11
en-MG-x-icu,en-MG,10,en-MG,153.88,-1,i,11
en-MH-x-icu,en-MH,10,en-MH,153.88,-1,i,11
en-MO-x-icu,en-MO,10,en-MO,153.88,-1,i,11
en-MP-x-icu,en-MP,10,en-MP,153.88,-1,i,11
en-MS-x-icu,en-MS,10,en-MS,153.88,-1,i,11
en-MT-x-icu,en-MT,10,en-MT,153.88,-1,i,11
en-MU-x-icu,en-MU,10,en-MU,153.88,-1,i,11
en-MW-x-icu,en-MW,10,en-MW,153.88,-1,i,11
en-MY-x-icu,en-MY,10,en-MY,153.88,-1,i,11
en-NA-x-icu,en-NA,10,en-NA,153.88,-1,i,11
en-NF-x-icu,en-NF,10,en-NF,153.88,-1,i,11
en-NG-x-icu,en-NG,10,en-NG,153.88,-1,i,11
en-NL-x-icu,en-NL,10,en-NL,153.88,-1,i,11
en-NR-x-icu,en-NR,10,en-NR,153.88,-1,i,11
en-NU-x-icu,en-NU,10,en-NU,153.88,-1,i,11
en-NZ-x-icu,en-NZ,10,en-NZ,153.88,-1,i,11
en-PG-x-icu,en-PG,10,en-PG,153.88,-1,i,11
en-PH-x-icu,en-PH,10,en-PH,153.88,-1,i,11
en-PK-x-icu,en-PK,10,en-PK,153.88,-1,i,11
en-PN-x-icu,en-PN,10,en-PN,153.88,-1,i,11
en-PR-x-icu,en-PR,10,en-PR,153.88,-1,i,11
