conname,conproc,conowner,condefault,connamespace,contoencoding,conforencoding
ascii_to_mic,ascii_to_mic,10,true,11,7,0
ascii_to_utf8,ascii_to_utf8,10,true,11,6,0
big5_to_euc_tw,big5_to_euc_tw,10,true,11,4,36
big5_to_mic,big5_to_mic,10,true,11,7,36
big5_to_utf8,big5_to_utf8,10,true,11,6,36
euc_cn_to_mic,euc_cn_to_mic,10,true,11,7,2
euc_cn_to_utf8,euc_cn_to_utf8,10,true,11,6,2
euc_jis_2004_to_shift_jis_2004,euc_jis_2004_to_shift_jis_2004,10,true,11,41,5
euc_jis_2004_to_utf8,euc_jis_2004_to_utf8,10,true,11,6,5
euc_jp_to_mic,euc_jp_to_mic,10,true,11,7,1
euc_jp_to_sjis,euc_jp_to_sjis,10,true,11,35,1
euc_jp_to_utf8,euc_jp_to_utf8,10,true,11,6,1
euc_kr_to_mic,euc_kr_to_mic,10,true,11,7,3
euc_kr_to_utf8,euc_kr_to_utf8,10,true,11,6,3
euc_tw_to_big5,euc_tw_to_big5,10,true,11,36,4
euc_tw_to_mic,euc_tw_to_mic,10,true,11,7,4
euc_tw_to_utf8,euc_tw_to_utf8,10,true,11,6,4
gb18030_to_utf8,gb18030_to_utf8,10,true,11,6,39
gbk_to_utf8,gbk_to_utf8,10,true,11,6,37
iso_8859_10_to_utf8,iso8859_to_utf8,10,true,11,6,13
iso_8859_13_to_utf8,iso8859_to_utf8,10,true,11,6,14
iso_8859_14_to_utf8,iso8859_to_utf8,10,true,11,6,15
iso_8859_15_to_utf8,iso8859_to_utf8,10,true,11,6,16
iso_8859_16_to_utf8,iso8859_to_utf8,10,true,11,6,17
iso_8859_1_to_mic,latin1_to_mic,10,true,11,7,8
iso_8859_1_to_utf8,iso8859_1_to_utf8,10,true,11,6,8
iso_8859_2_to_mic,latin2_to_mic,10,true,11,7,9
iso_8859_2_to_utf8,iso8859_to_utf8,10,true,11,6,9
iso_8859_2_to_windows_1250,latin2_to_win1250,10,true,11,29,9
iso_8859_3_to_mic,latin3_to_mic,10,true,11,7,10
iso_8859_3_to_utf8,iso8859_to_utf8,10,true,11,6,10
iso_8859_4_to_mic,latin4_to_mic,10,true,11,7,11
iso_8859_4_to_utf8,iso8859_to_utf8,10,true,11,6,11
iso_8859_5_to_koi8_r,iso_to_koi8r,10,true,11,22,25
iso_8859_5_to_mic,iso_to_mic,10,true,11,7,25
iso_8859_5_to_utf8,iso8859_to_utf8,10,true,11,6,25
iso_8859_5_to_windows_1251,iso_to_win1251,10,true,11,23,25
iso_8859_5_to_windows_866,iso_to_win866,10,true,11,20,25
iso_8859_6_to_utf8,iso8859_to_utf8,10,true,11,6,26
iso_8859_7_to_utf8,iso8859_to_utf8,10,true,11,6,27
iso_8859_8_to_utf8,iso8859_to_utf8,10,true,11,6,28
iso_8859_9_to_utf8,iso8859_to_utf8,10,true,11,6,12
johab_to_utf8,johab_to_utf8,10,true,11,6,40
koi8_r_to_iso_8859_5,koi8r_to_iso,10,true,11,25,22
koi8_r_to_mic,koi8r_to_mic,10,true,11,7,22
koi8_r_to_utf8,koi8r_to_utf8,10,true,11,6,22
koi8_r_to_windows_1251,koi8r_to_win1251,10,true,11,23,22
koi8_r_to_windows_866,koi8r_to_win866,10,true,11,20,22
koi8_u_to_utf8,koi8u_to_utf8,10,true,11,6,34
mic_to_ascii,mic_to_ascii,10,true,11,0,7
mic_to_big5,mic_to_big5,10,true,11,36,7
