opcname,opcowner,opcfamily,opcintype,opcmethod,opcdefault,opckeytype,opcnamespace
abstime_minmax_ops,10,4072,702,3580,true,702,11
abstime_ops,10,421,702,403,true,0,11
abstime_ops,10,421,702,403,true,0,11
aclitem_ops,10,2235,1033,405,true,0,11
array_ops,10,627,2277,405,true,0,11
array_ops,10,397,2277,403,true,0,11
array_ops,10,2745,2277,2742,true,2283,11
bit_minmax_ops,10,4079,1560,3580,true,1560,11
bit_ops,10,423,1560,403,true,0,11
bool_ops,10,424,16,403,true,0,11
bool_ops,10,2222,16,405,true,0,11
box_inclusion_ops,10,4104,603,3580,true,603,11
box_ops,10,2593,603,783,true,0,11
box_ops,10,5000,603,4000,true,0,11
bpchar_minmax_ops,10,4076,1042,3580,true,1042,11
bpchar_ops,10,427,1042,405,true,0,11
bpchar_ops,10,426,1042,403,true,0,11
bpchar_pattern_ops,10,2231,1042,405,false,0,11
bpchar_pattern_ops,10,2097,1042,403,false,0,11
bytea_minmax_ops,10,4064,17,3580,true,17,11
bytea_ops,10,428,17,403,true,0,11
bytea_ops,10,2223,17,405,true,0,11
char_minmax_ops,10,4062,18,3580,true,18,11
char_ops,10,431,18,405,true,0,11
char_ops,10,429,18,403,true,0,11
cid_ops,10,2226,29,405,true,0,11
cidr_ops,10,1974,869,403,false,0,11
cidr_ops,10,1975,869,405,false,0,11
circle_ops,10,2595,718,783,true,603,11
date_minmax_ops,10,4059,1082,3580,true,1082,11
date_ops,10,435,1082,405,true,0,11
date_ops,10,434,1082,403,true,0,11
enum_ops,10,3522,3500,403,true,0,11
enum_ops,10,3523,3500,405,true,0,11
float4_minmax_ops,10,4070,700,3580,true,700,11
float4_ops,10,1971,700,405,true,0,11
float4_ops,10,1970,700,403,true,0,11
float8_minmax_ops,10,4070,701,3580,true,701,11
float8_ops,10,1970,701,403,true,0,11
float8_ops,10,1971,701,405,true,0,11
inet_inclusion_ops,10,4102,869,3580,true,869,11
inet_minmax_ops,10,4075,869,3580,false,869,11
inet_ops,10,3794,869,4000,true,0,11
inet_ops,10,3550,869,783,false,0,11
inet_ops,10,1975,869,405,true,0,11
inet_ops,10,1974,869,403,true,0,11
int2_minmax_ops,10,4054,21,3580,true,21,11
int2_ops,10,1977,21,405,true,0,11
int2_ops,10,1976,21,403,true,0,11
int4_minmax_ops,10,4054,23,3580,true,23,11
int4_ops,10,1976,23,403,true,0,11
int4_ops,10,1977,23,405,true,0,11
int8_minmax_ops,10,4054,20,3580,true,20,11
int8_ops,10,1977,20,405,true,0,11
int8_ops,10,1976,20,403,true,0,11
interval_minmax_ops,10,4078,1186,3580,true,1186,11
interval_ops,10,1983,1186,405,true,0,11
interval_ops,10,1982,1186,403,true,0,11
jsonb_ops,10,4033,3802,403,true,0,11
jsonb_ops,10,4034,3802,405,true,0,11
jsonb_ops,10,4034,3802,405,true,0,11
jsonb_path_ops,10,4037,3802,2742,false,23,11
kd_point_ops,10,4016,600,4000,false,0,11
macaddr8_minmax_ops,10,4109,774,3580,true,774,11
macaddr8_ops,10,3372,774,405,true,0,11
macaddr8_ops,10,3371,774,403,true,0,11
macaddr_minmax_ops,10,4074,829,3580,true,829,11
macaddr_ops,10,1985,829,405,true,0,11
macaddr_ops,10,1984,829,403,true,0,11
money_ops,10,2099,790,403,true,0,11
name_minmax_ops,10,4065,19,3580,true,19,11
name_ops,10,1987,19,405,true,0,11
name_ops,10,1986,19,403,true,2275,11
numeric_minmax_ops,10,4055,1700,3580,true,1700,11
numeric_ops,10,1988,1700,403,true,0,11
numeric_ops,10,1998,1700,405,true,0,11
oid_minmax_ops,10,4068,26,3580,true,26,11
oid_ops,10,1989,26,403,true,0,11
oid_ops,10,1990,26,405,true,0,11
oidvector_ops,10,1991,30,403,true,0,11
oidvector_ops,10,1992,30,405,true,0,11
pg_lsn_minmax_ops,10,4082,3220,3580,true,3220,11
pg_lsn_ops,10,3253,3220,403,true,0,11
pg_lsn_ops,10,3254,3220,405,true,0,11
point_ops,10,1029,600,783,true,603,11
poly_ops,10,5008,604,4000,true,603,11
poly_ops,10,2594,604,783,true,603,11
quad_point_ops,10,4015,600,4000,true,0,11
range_inclusion_ops,10,4103,3831,3580,true,3831,11
range_ops,10,3901,3831,403,true,0,11
range_ops,10,3474,3831,4000,true,0,11
range_ops,10,3903,3831,405,true,0,11
range_ops,10,3919,3831,783,true,0,11
record_image_ops,10,3194,2249,403,false,0,11
record_ops,10,2994,2249,403,true,0,11
reltime_minmax_ops,10,4073,703,3580,true,703,11
reltime_ops,10,2233,703,403,true,0,11
reltime_ops,10,2228,703,405,true,0,11
text_minmax_ops,10,4056,25,3580,true,25,11
text_ops,10,4017,25,4000,true,0,11
text_ops,10,1995,25,405,true,0,11
text_ops,10,1994,25,403,true,0,11
text_pattern_ops,10,2095,25,403,false,0,11
text_pattern_ops,10,2229,25,405,false,0,11
tid_minmax_ops,10,4069,27,3580,true,27,11
tid_ops,10,2789,27,403,true,0,11
time_minmax_ops,10,4077,1083,3580,true,1083,11
time_ops,10,1996,1083,403,true,0,11
time_ops,10,1997,1083,405,true,0,11
timestamp_minmax_ops,10,4059,1114,3580,true,1114,11
timestamp_ops,10,2040,1114,405,true,0,11
timestamp_ops,10,434,1114,403,true,0,11
timestamptz_minmax_ops,10,4059,1184,3580,true,1184,11
timestamptz_ops,10,434,1184,403,true,0,11
timestamptz_ops,10,1999,1184,405,true,0,11
timetz_minmax_ops,10,4058,1266,3580,true,1266,11
timetz_ops,10,2000,1266,403,true,0,11
timetz_ops,10,2001,1266,405,true,0,11
tinterval_ops,10,2234,704,403,true,0,11
tsquery_ops,10,3683,3615,403,true,0,11
tsquery_ops,10,3702,3615,783,true,20,11
tsvector_ops,10,3626,3614,403,true,0,11
tsvector_ops,10,3655,3614,783,true,3642,11
tsvector_ops,10,3659,3614,2742,true,25,11
uuid_minmax_ops,10,4081,2950,3580,true,2950,11
uuid_ops,10,2968,2950,403,true,0,11
uuid_ops,10,2969,2950,405,true,0,11
varbit_minmax_ops,10,4080,1562,3580,true,1562,11
varbit_ops,10,2002,1562,403,true,0,11
varchar_ops,10,1994,25,403,false,0,11
varchar_ops,10,1995,25,405,false,0,11
varchar_pattern_ops,10,2229,25,405,false,0,11
varchar_pattern_ops,10,2095,25,403,false,0,11
xid_ops,10,2225,28,405,true,0,11

