starelid,staop1,staop2,staop3,staop4,staop5,stakind1,stakind2,stakind3,stakind4,stakind5,stawidth,staattnum,stainherit,stavalues1,stavalues2,stavalues3,stavalues4,stavalues5,stadistinct,stanullfrac,stanumbers1,stanumbers2,stanumbers3,stanumbers4,stanumbers5
1136,660,660,0,0,0,2,3,0,0,0,64,1,false,"{plperl,plperlu,plpgsql,plpython2u,plpython3u,plpythonu,pltcl,pltclu}",NULL,NULL,NULL,NULL,-1,0,NULL,{-0.0714286},NULL,NULL,NULL
1136,91,58,0,0,0,1,3,0,0,0,1,2,false,"{f,t}",NULL,NULL,NULL,NULL,-0.25,0,"{0.625,0.375}",{-0.261905},NULL,NULL,NULL
1136,91,58,0,0,0,1,3,0,0,0,1,3,false,"{f,t}",NULL,NULL,NULL,NULL,-0.25,0,"{0.625,0.375}",{-0.261905},NULL,NULL,NULL
1136,664,664,0,0,0,2,3,0,0,0,21,4,false,"{plperl_call_handler,plperlu_call_handler,plpgsql_call_handler,plpython2_call_handler,plpython3_call_handler,plpython_call_handler,pltcl_call_handler,pltclu_call_handler}",NULL,NULL,NULL,NULL,-1,0,NULL,{-0.0714286},NULL,NULL,NULL
1136,664,664,0,0,0,2,3,0,0,0,23,5,false,"{plperl_inline_handler,plperlu_inline_handler,plpgsql_inline_handler,plpython2_inline_handler,plpython3_inline_handler,plpython_inline_handler}",NULL,NULL,NULL,NULL,-0.75,0.25,NULL,{0.657143},NULL,NULL,NULL
1136,664,664,0,0,0,2,3,0,0,0,18,6,false,"{plperlu_validator,plperl_validator,plpgsql_validator,plpython2_validator,plpython3_validator,plpython_validator}",NULL,NULL,NULL,NULL,-0.75,0.25,NULL,{0.6},NULL,NULL,NULL
1136,98,664,664,0,0,1,2,3,0,0,16,7,false,"{$libdir/plperl,$libdir/plpython2,$libdir/pltcl}","{$libdir/plpgsql,$libdir/plpython3}",NULL,NULL,NULL,-0.625,0,"{0.25,0.25,0.25}",NULL,{0},NULL,NULL
1136,0,0,0,0,0,0,0,0,0,0,0,8,false,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL
1213,660,660,0,0,0,2,3,0,0,0,64,1,false,"{pg_default,pg_global}",NULL,NULL,NULL,NULL,-1,0,NULL,{1},NULL,NULL,NULL
1213,607,609,0,0,0,1,3,0,0,0,4,2,false,{10},NULL,NULL,NULL,NULL,-0.5,0,{1},{1},NULL,NULL,NULL
1213,0,0,0,0,0,0,0,0,0,0,0,3,false,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL
1213,0,0,0,0,0,0,0,0,0,0,0,4,false,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL
1214,607,609,0,0,0,1,3,0,0,0,4,1,false,{0},NULL,NULL,NULL,NULL,-0.111111,0,{1},{1},NULL,NULL,NULL
1214,607,609,0,0,0,1,3,0,0,0,4,2,false,{0},NULL,NULL,NULL,NULL,-0.111111,0,{1},{1},NULL,NULL,NULL
1214,607,609,0,0,0,1,3,0,0,0,4,3,false,{0},NULL,NULL,NULL,NULL,-0.111111,0,{1},{1},NULL,NULL,NULL
1214,96,97,0,0,0,1,3,0,0,0,4,4,false,{0},NULL,NULL,NULL,NULL,-0.111111,0,{1},{1},NULL,NULL,NULL
1214,607,609,0,0,0,1,3,0,0,0,4,5,false,{1260},NULL,NULL,NULL,NULL,-0.111111,0,{1},{1},NULL,NULL,NULL
1214,609,609,0,0,0,2,3,0,0,0,4,6,false,"{10,3373,3374,3375,3377,4200,4569,4570,4571}",NULL,NULL,NULL,NULL,-1,0,NULL,{0.9},NULL,NULL,NULL
1214,92,631,0,0,0,1,3,0,0,0,1,7,false,{p},NULL,NULL,NULL,NULL,-0.111111,0,{1},{1},NULL,NULL,NULL
1247,660,660,0,0,0,2,3,0,0,0,64,1,false,"{_abstime,_bool,_cardinal_number,_cidr,_daterange,_gtsvector,_int4,_interval,_lseg,_name,_oid,_pg_foreign_servers,_pg_user_mappings,_refcursor,_regnamespace,_regproc,_reltime,_time,_timetz,_tstzrange,_uuid,_xml,administrable_role_authorizations,anyenum,applicable_roles,box,char,check_constraints,collation_character_set_applicability,column_options,constraint_column_usage,date,domains,fdw_handler,foreign_data_wrapper_options,foreign_table_options,inet,int4,internal,jsonb,lseg,name,oidvector,path,pg_amproc,pg_authid,pg_class,pg_conversion,pg_db_role_setting,pg_dependencies,pg_extension,pg_foreign_table,pg_indexes,pg_language,pg_lsn,pg_node_tree,pg_partitioned_table,pg_prepared_statements,pg_publication,pg_replication_origin,pg_roles,pg_sequence,pg_shadow,pg_stat_activity,pg_stat_bgwriter,pg_stat_replication,pg_stat_sys_tables,pg_stat_user_tables,pg_stat_xact_user_functions,pg_statio_all_tables,pg_statio_user_indexes,pg_statistic_ext,pg_subscription_rel,pg_timezone_names,pg_toast_12946,pg_toast_12966,pg_toast_2609,pg_toast_2620,pg_toast_3596,pg_ts_config_map,pg_type,pg_user_mappings,record,regconfig,regoperator,regtype,role_routine_grants,routine_privileges,smgr,sql_languages,sql_sizing_profiles,tables,time_stamp,tinterval,triggers,tstzrange,udt_privileges,user_mapping_options,varchar,views,yes_or_no}",NULL,NULL,NULL,NULL,-1,0,NULL,{0.345123},NULL,NULL,NULL
1247,607,609,0,0,0,1,3,0,0,0,4,2,false,"{11,12806,99}",NULL,NULL,NULL,NULL,3,0,"{0.747368,0.202632,0.05}",{0.992931},NULL,NULL,NULL
1247,607,609,0,0,0,1,3,0,0,0,4,3,false,{10},NULL,NULL,NULL,NULL,1,0,{1},{1},NULL,NULL,NULL
1247,94,95,0,0,0,1,3,0,0,0,2,4,false,"{-1,4,8,12,16,-2,1,2,6,24,32}",NULL,NULL,NULL,NULL,12,0,"{0.839474,0.0815789,0.0289474,0.00789474,0.00789474,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316}",{0.432994},NULL,NULL,NULL
1247,91,58,0,0,0,1,3,0,0,0,1,5,false,"{f,t}",NULL,NULL,NULL,NULL,2,0,"{0.881579,0.118421}",{0.604052},NULL,NULL,NULL
1247,92,631,0,0,0,1,3,0,0,0,1,6,false,"{c,b,p,r,d}",NULL,NULL,NULL,NULL,5,0,"{0.544737,0.373684,0.0526316,0.0157895,0.0131579}",{0.819634},NULL,NULL,NULL
1247,92,631,631,0,0,1,2,3,0,0,1,7,false,"{C,A,N,P,U,S,D,G,R,T,I,V}","{B,X}",NULL,NULL,NULL,14,0,"{0.544737,0.202632,0.05,0.05,0.0473684,0.0289474,0.0184211,0.0184211,0.0157895,0.00789474,0.00526316,0.00526316}",NULL,{0.140448},NULL,NULL
1247,91,58,0,0,0,1,3,0,0,0,1,8,false,"{f,t}",NULL,NULL,NULL,NULL,2,0,"{0.978947,0.0210526}",{0.902931},NULL,NULL,NULL
1247,91,58,0,0,0,1,3,0,0,0,1,9,false,{t},NULL,NULL,NULL,NULL,1,0,{1},{1},NULL,NULL,NULL
1247,92,631,0,0,0,1,3,0,0,0,1,10,false,"{"","",;}",NULL,NULL,NULL,NULL,2,0,"{0.994737,0.00526316}",{0.976186},NULL,NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,11,false,{0},"{826,1213,1247,1255,1260,1262,1418,2328,2396,2601,2603,2605,2607,2609,2611,2613,2616,2619,2753,2832,2836,2840,2964,2995,3118,3350,3394,3456,3501,3576,3596,3600,3602,3764,6100,6104,11595,11603,11609,11617,11625,11633,11641,11648,11654,11661,11668,11676,11682,11688,11700,11707,11714,11720,11727,11734,11740,11747,11754,11761,11767,11774,11781,11788,11795,12826,12838,12849,12857,12865,12873,12881,12889,12896,12903,12911,12918,12925,12932,12938,12943,12948,12953,12958,12966,12971,12979,12986,12994,13002,13009,13016,13024,13032,13040,13047,13053,13060,13066,13073,13084}",NULL,NULL,NULL,-0.547368,0,{0.455263},NULL,{0.963668},NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,12,false,"{0,600,701,18,21,26}","{16,17,19,20,22,23,24,25,27,28,29,30,114,142,601,602,603,604,628,650,700,702,703,704,718,774,790,829,869,1033,1042,1043,1082,1083,1114,1184,1186,1266,1560,1562,1700,1790,2202,2203,2204,2205,2206,2249,2275,2950,2970,3220,3614,3615,3642,3734,3769,3802,3904,3906,3908,3910,3912,3926,4089,4096,12820,12823,12825,12830,12832}",NULL,NULL,NULL,-0.202632,0,"{0.781579,0.00789474,0.00789474,0.00526316,0.00526316,0.00526316}",NULL,{0.274565},NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,13,false,{0},"{143,199,629,651,719,775,791,1000,1001,1002,1003,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1027,1028,1034,1040,1041,1115,1182,1183,1185,1187,1231,1263,1270,1561,1563,2201,2207,2208,2209,2210,2211,2287,2949,2951,3221,3643,3644,3645,3735,3770,3807,3905,3907,3909,3911,3913,3927,4090,4097,12819,12822,12824,12829,12831}",NULL,NULL,NULL,-0.202632,0,{0.8},NULL,{0.283836},NULL,NULL
